Epoch,Training Loss,Validation Loss,Training MAE,Validation MAE,Validation Symmetric MAE,Training RMSE,Validation RMSE,Validation Symmetric RMSE
113,27.874351682628177,32.001093783844325,4.766897716188222,6.9008116900987355,4.252861670950127,4.093123176043024,6.228602440244177,6.03165283237897
114,27.9130930260969,30.454588011267266,4.660264152124812,6.758262544786079,4.42925537041563,4.225095304151193,6.45087188969771,6.225424597543713
115,28.343917070428695,31.18689498828699,4.816224483844324,6.985132975846735,4.403638023861695,4.240509769437928,6.499864597250146,6.252445249794029
116,27.69588009947574,30.933266593596816,4.652295549751816,6.744618961007817,4.378551209228436,4.267955486081056,6.349170084093145,6.212526942199438
117,27.235758139706924,31.98885053213622,4.6470232939834775,6.7240593694858,4.329820025253091,4.196913156849018,6.359619622528886,6.156214209949257
118,26.652220665668544,31.466671903082055,4.637596869390785,6.728265863003676,4.497042782318351,4.337144287177428,6.625183751832041,6.411582433836041
119,27.041193957597862,30.244575002476385,4.654930349282559,6.751878842601373,4.217733485224039,4.006145089388757,6.198975425545234,5.954114495584988
120,26.807977373981004,30.31432847121805,4.625203895557592,6.718150786692863,4.068420505106102,3.965696826412836,6.05550608864675,5.909244883270499
121,26.549787677633564,30.4878654771612,4.573776131204264,6.641698760905383,4.416311895217107,4.302339636711885,6.422305398729898,6.277407085156395
122,26.630347884539635,31.13592431662642,4.612174653160937,6.685671725893426,4.298596961642283,4.1729662512291466,6.2881324608467795,6.101185624772884
123,26.759598330898157,31.179802892038506,4.57418205709172,6.654264174892434,4.227355132897793,4.138407266093544,6.223201083233999,6.11336130972057
124,26.471823571719966,30.70586844286553,4.470406715078929,6.52322171322016,4.214259341788423,4.077786191600058,6.179254181758401,6.01318220657849
125,26.711659215897143,31.298111444428585,4.552973549827756,6.587129443361397,4.406804245643089,4.274261324952327,6.413566111520818,6.229043915154838
126,26.435183227049475,30.0415835385052,4.617786328433515,6.6550050049238925,4.343629618873504,4.138289886142781,6.463895324344217,6.223461788519369
127,26.365146670534298,30.75042744583315,4.540587444922697,6.6105176140800275,4.094890583759206,4.016042847762832,6.0060434414630155,5.906250608412667
128,25.848269376624284,30.528788077413417,4.525324356779745,6.567672372472501,4.15051144135277,4.026586934762602,6.121415305167307,5.946639099835041
129,26.055535752471428,30.0043074948451,4.489739921160099,6.53324035290078,4.116176252694561,4.051612043400846,6.083408247394269,5.977815236718103
130,26.349834911764837,30.069280882349855,4.503686407971721,6.5280710820638665,4.472769606608875,4.297765793499492,6.589416511935698,6.378663431960277
131,26.745300169891724,30.021401558952103,4.591575845420742,6.664725906098738,4.452901587633637,4.23265678401364,6.509125648211391,6.286153958472747
132,25.599508913955432,30.25498863290593,4.446294668372127,6.460055984123393,4.180252372733347,4.094706588699476,6.162283881428894,6.036252742326734
133,25.526356809849528,29.733624931111937,4.486126301498096,6.527465446873295,3.90472376023356,3.745505279067754,5.741928349583562,5.523797578967479
134,25.133651665566454,29.054453090784992,4.344449598935462,6.3440751637581645,3.958111339213734,3.76367217593348,5.8413615669323375,5.574054487553641
135,25.46984056582989,30.26468921370851,4.399795894163809,6.41866991126608,4.251178158813182,4.098253891863687,6.202357669724801,6.025926175424618
136,25.11034743401985,30.47578481531522,4.358216267867519,6.350928904393266,4.0902941344728445,3.941002546561688,6.00370922186312,5.813385144950492
137,25.393056187817127,30.01931822657331,4.421225839359445,6.451640311676081,3.989861778518123,3.9023632634935064,5.876415078739039,5.76997966733216
138,24.993869065205434,30.280419312374963,4.406822957681094,6.432015155356106,4.009938019829036,3.882563046558515,5.863463710915759,5.696539788026936
139,25.243071874341716,30.161073229028432,4.343026930306666,6.365062646035957,4.135786705035762,4.032245942521326,6.137894863664813,6.000944536213141
140,24.795356179482248,30.270492287448093,4.2821937565218064,6.274038831236015,4.166387389348675,4.046507841589905,6.168534608190027,5.993513979457795
141,24.70041821124117,29.543846026132073,4.280684649210926,6.263462422031358,4.12416142469099,3.944739082141822,6.144553781752539,5.9236761172671875
142,24.790113968437247,30.065725122846434,4.360696781615089,6.3800579957065455,4.178027934623402,3.9903064300275326,6.111600031786212,5.888716816936003
143,24.417419374586785,29.821946328263273,4.280642979144906,6.250712191001131,4.013233609862576,3.863694880993716,5.837464774935291,5.662907970866904
144,24.57605371389909,30.18565242149456,4.328925516208237,6.3276196064545305,4.38655331879261,4.274333649207776,6.407910074561882,6.2349824330979775
145,24.40932020693083,29.774614533672555,4.270663023050342,6.243719129123677,3.7843630028051214,3.6677638637739722,5.545439737591861,5.413837812458055
146,24.40140897637379,29.454847671837072,4.232717563529591,6.199086320785303,3.9061285444247855,3.780567796686461,5.72623924022407,5.571178610199134
147,24.48190894435259,29.910289125081686,4.229602578170963,6.19937837363093,4.113780587210661,4.0457827658351295,6.043273229580184,5.9111822101486196
148,24.34471116764321,28.85846020852948,4.226268833585874,6.195834194059514,3.922415900498652,3.776230867235683,5.823206551251196,5.63986250373654
149,24.406654840806652,29.36404968351908,4.214990990647994,6.182632989365353,3.961000250143456,3.8724075230925847,5.852489447552209,5.7393294730523365
150,23.824055164504824,29.305695235122194,4.258210630580401,6.2627766277036,4.221092579518227,3.9950569212585614,6.229976377579036,5.973086723791088
151,23.791675709426293,29.476597551924392,4.196374742211329,6.125722117500532,3.776793068926794,3.706800369695496,5.574437685109721,5.473168533487364
152,24.059094431525892,28.20924908950075,4.198269452597557,6.12094273494843,3.767344805521735,3.6865343905417824,5.564081554556146,5.441990390976492
153,23.78299406325493,29.066626311923752,4.186258447732855,6.13195870134436,4.045452215261094,3.902276437906359,5.967750221867877,5.819906722346745
154,23.7709741019273,29.17630360248711,4.2018719486157625,6.155000223488817,3.9233071369424146,3.8287406899642735,5.799968794596201,5.666648288376729
155,23.41287739538029,29.048897894346496,4.089952526056581,5.98874930514884,3.9206833011675775,3.800164837969945,5.768829611018961,5.58978597851824
156,24.10305608266262,29.456699293985942,4.190325914167997,6.130699759955498,3.871433843499104,3.76953794633286,5.683863039233862,5.532638527917379
157,23.647749445731602,28.80469766350251,4.203187786583319,6.129289468695395,3.929716065097312,3.8560002403086635,5.82335481656914,5.729259468058791
158,23.4395525187718,27.908404898132037,4.127207737091222,6.022978254408882,3.9733886331163193,3.8802941408416474,5.94003493853837,5.844950749927684
159,23.903862770388354,28.251756923714407,4.239590128452369,6.173177873478703,3.9074637710980635,3.7625779918739886,5.809412433402722,5.63639755239992
160,23.38699857875515,28.152709208191418,4.156621320877068,6.094229002603305,3.973457328465115,3.8531252192506824,5.892211615148448,5.729631913737817
161,23.525463258725203,28.275107559565303,4.103606927117767,5.990650691480617,3.996798137341734,3.9011119307419606,5.817572716276729,5.693078797849239
162,23.88060944097115,28.965262170513355,4.221049891996002,6.141040389478194,3.9523455106719667,3.842895294666434,5.824510294726876,5.6974908296545905
163,23.616719878853942,28.262973147414552,4.135012672902485,6.059408016668312,3.872574966278887,3.7388773795008334,5.779834085698654,5.627601240452271
164,22.796371780175935,29.210671942384735,4.0153032374849165,5.88037700415312,4.0099663181190754,3.9012395670099886,5.938117232490933,5.834793950394057
165,22.92297683124696,28.178529191327115,3.993816222930703,5.860354927447744,3.8039280718799002,3.6401812248958763,5.651984209412451,5.455145401990987
166,22.544161876985704,28.691049773604508,3.9492920611071596,5.804475163161949,3.747202953364398,3.648104677247815,5.48144819080433,5.351679788869588
167,22.96181890829807,28.06981519957592,3.9808176341379147,5.861809577466841,3.8562203748336232,3.7974371011732266,5.673953632854149,5.562778446032822
168,23.01155535395182,28.653640419828275,4.089799855971252,6.001641616607285,3.913743464983778,3.7626572351329224,5.829497471439254,5.602557230449908
169,22.201398488614817,28.207253765417224,3.992938539505443,5.894088093054747,3.8445304685693644,3.681825923856958,5.699872838769989,5.465887052436167
170,22.958767687274122,28.266102202125126,4.016010261211281,5.894004524968974,3.875897253748443,3.8272223556116747,5.728799457578887,5.6689509104661795
171,22.061075796532666,27.955777457238163,3.9704640289765107,5.847612709613667,3.87119818805204,3.7148204497477453,5.710264922082776,5.48536326657113
172,22.34336584835675,27.655456725256194,3.9811221117532236,5.843378772238755,3.8151408942324627,3.6859110976044804,5.667405170881233,5.510842511571028
173,22.25249905996976,28.127081646756153,3.938347206843859,5.781562056585528,3.667281183157648,3.4239387385539786,5.40730385674004,5.115415067651779
174,22.42426586438013,28.425089422485733,3.921544902671061,5.766238576770692,3.873181075744587,3.8122117069188928,5.716878261594945,5.6272922790869435
175,22.596397190154637,27.9631398217176,3.971356418205921,5.836760239775738,3.627178448345058,3.5138481343581183,5.368021795463003,5.212091342818122
176,22.52068194853323,27.446524458696533,3.93797917738626,5.794250761278525,3.614479604451925,3.531994423355397,5.371253637076279,5.259933528414581
177,22.076885900998526,27.649595526292973,3.870966550397099,5.678701291340588,3.7737726658121655,3.618605161479733,5.623038195033486,5.4520922096439035
178,22.053117303063605,28.08321128821375,3.902486543373808,5.76251842848162,3.710065424257722,3.582744505948657,5.502430679850579,5.3489424939052155
179,22.05676204408799,28.025536372088762,3.9058111539281395,5.764126590196504,3.6931417854938853,3.577204885386303,5.477227954967824,5.33441656082652
180,22.0780521817616,27.85849880324048,3.8929718405495373,5.706912257536174,3.8050219421338807,3.7028314664422775,5.585925165243486,5.4648548171286135
181,21.82037454164513,27.94968034347486,3.8425622013108636,5.610360511574825,3.8459218015140966,3.7572695418045408,5.563811079875061,5.432954931562484
182,22.01276672003278,27.848899192116175,3.912692114800646,5.746175587094849,3.6434587610097693,3.5633248285011185,5.438613326154413,5.323464996674565
183,21.65489207806721,27.55897385349396,3.7772789357052226,5.563190128937446,3.598902937485299,3.47913981966483,5.334807156577392,5.181338690647055
184,21.789620562545874,28.076739371988932,3.8260666310990628,5.613697433954973,3.7362728873216384,3.5605138048911917,5.540386441618917,5.316881441882757
185,21.654325427548066,28.148930493741013,3.8304497062624554,5.640772724024139,3.868570892440799,3.8080482284017427,5.799391479938731,5.675977029080516
186,21.508050228573875,27.51870208849258,3.832126776726993,5.614309285638475,3.622405447079735,3.485813726883409,5.297838854313171,5.129138326449762
187,21.413639880133207,27.182981024809113,3.790356442131995,5.580101434099399,3.6003999607165422,3.4934476403371706,5.3753584302640585,5.234224984131832
188,21.913031162931016,27.156477187299437,3.844799396957464,5.628361913491938,3.684734205502574,3.5645197519488883,5.474279182164066,5.343430734175544
189,21.291417772069714,27.1460524223222,3.7835133868652253,5.5605907267008226,3.730683236029293,3.68382625022692,5.5655052237402645,5.496063353119518
190,21.331011134516952,26.952603892435008,3.7642108560583694,5.564271268827341,3.664096935027283,3.5794915589091536,5.4229813189242435,5.316288746897203
191,21.55916850425955,27.464154019805093,3.774552137224098,5.5844200181528905,3.7017652276531616,3.602044005380761,5.425787631123957,5.291033519464862
192,21.18393257894829,27.136995168620462,3.8265714426896107,5.616544393178771,3.785174008572059,3.71180410981815,5.65174906448634,5.507069286943465
193,21.295667578114916,27.2960378085485,3.774992548095026,5.559545357301527,3.775070935273077,3.6661358840984466,5.621318727931146,5.4369563486925205
194,20.952471061305616,27.002238701889176,3.691613873770225,5.43187413734843,3.565681578742252,3.4153401730993136,5.356175754355965,5.115646423819404
195,20.825968336993387,27.095675587162166,3.7347543718265617,5.505601098901943,3.700503208443897,3.5396923575844905,5.525795929529055,5.306453938822536
196,20.95746403839859,27.350555416129456,3.7572780846268308,5.538281838196227,3.6110852005808614,3.5475556808309636,5.370811282824965,5.292583646026353
197,20.997645496578354,27.139217917597307,3.73938797899204,5.496666797822912,3.676964667381985,3.540682328181118,5.386736953051016,5.1945508200236175
198,20.68244720325566,26.921552697460402,3.6851045858999876,5.419225058450177,3.440951882509927,3.335510136086495,5.144230064608553,4.998724254704766
199,20.85771391636286,26.835883507769665,3.705140769963746,5.450636956930165,3.7355301988369107,3.6514214749447502,5.559642607738031,5.4641812649107395
200,20.555979434180546,27.264584852764646,3.7136301326209145,5.446518207273342,3.5385273063882425,3.4271520567010962,5.241322850107803,5.1009444432546545
201,20.521186011948814,27.013656875870126,3.6783643259078525,5.430224146722593,3.6469326662874044,3.5864003585649717,5.405730088143976,5.322100757090874
202,20.441063633925385,27.51249697104421,3.6085859421829567,5.337098590461324,3.8518677647149593,3.7798134025023673,5.662502801501163,5.58608150949759
203,20.820175435424186,26.715656534209852,3.6727883506441135,5.434458806813606,3.4597922199145863,3.4069550005079123,5.108581377966351,5.033311220801502
204,20.34134792358188,27.01556978837949,3.6247723401155465,5.347898284918339,3.69344400586248,3.645788912025615,5.384898169811513,5.313114966501051
205,20.719623639768486,26.714140968461763,3.6240694396542428,5.33468299404316,3.5910128168124222,3.5026041286253347,5.322030214047867,5.191331723903178
